StudentID,Name,AcademicInterest,ExtracurricularActivities,Skills,Location,YearOfStudy,Major,GPA,Languages,ClubMemberships,ResearchInterests
263,Student 263,Biology,Coding Club,"Artistic, Leadership, Public Speaking",Boston,Senior,Physics,2.17,"English, Japanese",Music Club,Educational Technology
264,Student 264,Computer Science,Sports Team,"Public Speaking, Artistic",Los Angeles,Freshman,Biology,2.95,"English, Japanese, Chinese, German, Spanish, French",Sports Team,Quantum Computing
265,Student 265,Computer Science,Music Club,"Data Analysis, Problem Solving",Boston,Graduate,Mathematics,2.21,"Japanese, French, Chinese, German, Spanish, English","Debate Club, Art Club, Volunteer Group, Sports Team",Machine Learning
266,Student 266,History,Coding Club,"Public Speaking, Problem Solving, Leadership",Houston,Senior,History,2.37,Japanese,"Debate Club, Music Club, Art Club, Coding Club, Sports Team, Volunteer Group",Biomedical Engineering
267,Student 267,Psychology,Debate Club,"Leadership, Programming, Problem Solving, Artistic, Public Speaking",San Francisco,Graduate,Computer Science,2.97,"Spanish, German","Art Club, Sports Team, Debate Club, Coding Club",Cybersecurity
268,Student 268,Psychology,Music Club,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis, Artistic",Chicago,Graduate,History,3.35,Spanish,"Art Club, Music Club, Coding Club, Volunteer Group, Sports Team, Debate Club",Educational Technology
269,Student 269,History,Debate Club,Data Analysis,New York,Freshman,Biology,3.23,"English, German, Spanish","Art Club, Coding Club, Volunteer Group, Debate Club, Music Club",Artificial Intelligence
270,Student 270,Psychology,Music Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic, Programming",Houston,Junior,Mathematics,3.84,"Chinese, German, French, English","Coding Club, Volunteer Group",Sustainable Agriculture
271,Student 271,History,Coding Club,"Problem Solving, Artistic, Programming, Data Analysis",Houston,Graduate,Mathematics,3.84,"English, German, Spanish, Japanese","Debate Club, Coding Club, Sports Team, Music Club, Volunteer Group",Urban Planning
272,Student 272,History,Volunteer Group,Data Analysis,San Francisco,Sophomore,Psychology,3.8,"French, English, German, Spanish, Japanese, Chinese","Coding Club, Sports Team, Music Club, Debate Club",Human-Computer Interaction
273,Student 273,Computer Science,Art Club,Artistic,Boston,Senior,Physics,2.73,"English, German","Sports Team, Music Club, Art Club, Debate Club, Coding Club",Environmental Sustainability
274,Student 274,History,Art Club,Problem Solving,Boston,Senior,Mathematics,3.07,"Chinese, German, French, Spanish, English, Japanese","Sports Team, Volunteer Group",Healthcare Management
275,Student 275,Computer Science,Art Club,Programming,San Francisco,Junior,Biology,3.85,"Japanese, English, Chinese, French, Spanish, German","Volunteer Group, Music Club, Sports Team",Climate Change
276,Student 276,Physics,Volunteer Group,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic, Programming",San Francisco,Graduate,Physics,2.85,"French, English, Chinese, Japanese, German","Volunteer Group, Debate Club, Coding Club, Sports Team, Music Club",Healthcare Management
277,Student 277,Physics,Music Club,"Artistic, Data Analysis, Programming, Leadership",Boston,Sophomore,Biology,3.1,"Japanese, English, French, German, Spanish","Volunteer Group, Coding Club, Debate Club",Human-Computer Interaction
278,Student 278,Physics,Debate Club,Leadership,Chicago,Graduate,Computer Science,3.96,"Spanish, Chinese","Volunteer Group, Art Club, Coding Club, Sports Team, Music Club",Cybersecurity
279,Student 279,Computer Science,Music Club,"Data Analysis, Public Speaking, Leadership",San Francisco,Graduate,Mathematics,3.94,"German, Chinese","Sports Team, Art Club",Biomedical Engineering
280,Student 280,Computer Science,Volunteer Group,Leadership,Boston,Graduate,Psychology,2.83,"French, German, Japanese, English, Chinese",Volunteer Group,Quantum Computing
281,Student 281,Physics,Volunteer Group,"Public Speaking, Problem Solving, Artistic, Data Analysis, Programming, Leadership",Houston,Freshman,History,3.73,German,"Sports Team, Coding Club, Debate Club, Volunteer Group, Music Club",Bioinformatics
282,Student 282,Biology,Art Club,"Leadership, Public Speaking",New York,Graduate,Mathematics,3.19,"Chinese, English, Spanish, Japanese, French, German","Volunteer Group, Sports Team, Music Club, Debate Club, Art Club, Coding Club",Environmental Sustainability
283,Student 283,Physics,Volunteer Group,Public Speaking,Chicago,Graduate,Psychology,2.97,"English, French","Music Club, Debate Club, Art Club, Coding Club",Environmental Sustainability
284,Student 284,Psychology,Art Club,"Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving",San Francisco,Sophomore,History,2.08,"Spanish, English, German","Music Club, Volunteer Group, Coding Club, Art Club",Artificial Intelligence
285,Student 285,History,Art Club,Programming,Chicago,Sophomore,Biology,3.28,"German, Chinese","Coding Club, Music Club, Sports Team, Volunteer Group, Art Club",Machine Learning
286,Student 286,History,Music Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming, Leadership",Los Angeles,Senior,Physics,3.3,"Spanish, French, German","Sports Team, Music Club, Debate Club, Art Club",Healthcare Management
287,Student 287,Biology,Art Club,"Problem Solving, Data Analysis, Public Speaking, Artistic",Chicago,Graduate,Psychology,2.51,Spanish,"Sports Team, Music Club, Coding Club",Healthcare Management
288,Student 288,Mathematics,Music Club,"Problem Solving, Public Speaking, Artistic",New York,Graduate,History,2.27,"Japanese, German","Sports Team, Art Club, Volunteer Group",Quantum Computing
289,Student 289,Biology,Art Club,Artistic,San Francisco,Graduate,Computer Science,3.17,"Chinese, Japanese","Volunteer Group, Debate Club",Behavioral Economics
290,Student 290,Psychology,Volunteer Group,"Problem Solving, Public Speaking, Programming, Data Analysis, Artistic",Houston,Junior,Physics,3.57,"English, German, Japanese, French, Spanish","Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Bioinformatics
291,Student 291,Physics,Debate Club,"Leadership, Problem Solving, Data Analysis",Los Angeles,Sophomore,Physics,2.81,"Spanish, German","Debate Club, Art Club",Astrophysics
292,Student 292,Psychology,Music Club,"Leadership, Public Speaking, Artistic, Problem Solving, Programming, Data Analysis",Chicago,Senior,Psychology,3.06,"German, Japanese, French, Spanish, Chinese, English","Music Club, Debate Club",Machine Learning
293,Student 293,Biology,Volunteer Group,"Data Analysis, Problem Solving",Boston,Sophomore,History,3.48,"Spanish, French, Chinese, English, Japanese","Volunteer Group, Debate Club, Art Club",Blockchain Technology
294,Student 294,Physics,Art Club,"Problem Solving, Artistic, Public Speaking, Programming, Leadership",Boston,Sophomore,Mathematics,3.08,"German, French, Chinese","Art Club, Volunteer Group, Music Club",Sustainable Agriculture
295,Student 295,Physics,Art Club,"Programming, Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",Houston,Junior,History,3.32,"German, English, Spanish, French, Chinese, Japanese","Debate Club, Coding Club, Volunteer Group, Sports Team, Art Club, Music Club",Cybersecurity
296,Student 296,Biology,Debate Club,"Problem Solving, Programming",San Francisco,Senior,Psychology,2.86,Chinese,"Art Club, Volunteer Group, Debate Club, Coding Club",Space Exploration
297,Student 297,Psychology,Debate Club,"Data Analysis, Leadership",Boston,Junior,Psychology,3.65,"Chinese, German, Japanese","Volunteer Group, Art Club",Space Exploration
298,Student 298,Mathematics,Music Club,"Problem Solving, Programming",New York,Graduate,Computer Science,2.73,Spanish,"Debate Club, Music Club, Coding Club, Volunteer Group, Sports Team",Climate Change
299,Student 299,History,Art Club,"Programming, Leadership",Houston,Senior,History,2.14,"English, Spanish","Music Club, Volunteer Group, Debate Club, Coding Club, Art Club",Environmental Sustainability
300,Student 300,Psychology,Debate Club,"Artistic, Problem Solving",Houston,Senior,Biology,2.15,"Japanese, German, English, French","Debate Club, Art Club, Sports Team, Music Club, Volunteer Group",Renewable Energy
301,Student 301,Mathematics,Music Club,"Public Speaking, Leadership, Data Analysis, Problem Solving, Artistic",Houston,Senior,Computer Science,2.05,"Spanish, Chinese, German","Art Club, Sports Team, Music Club, Coding Club",Sustainable Agriculture
302,Student 302,Computer Science,Debate Club,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming",New York,Graduate,Psychology,2.3,"Chinese, German",Music Club,Cybersecurity
303,Student 303,Computer Science,Music Club,"Artistic, Data Analysis, Programming",Boston,Senior,Biology,3.86,"Chinese, German, Spanish, Japanese, French, English",Debate Club,Bioinformatics
304,Student 304,Mathematics,Music Club,"Artistic, Public Speaking",Houston,Graduate,Physics,3.48,"English, Spanish, French, Chinese","Music Club, Coding Club, Art Club",Sustainable Agriculture
305,Student 305,Computer Science,Art Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming, Data Analysis",Chicago,Graduate,Mathematics,3.45,"English, Spanish","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club",Sustainable Agriculture
306,Student 306,Physics,Music Club,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic",Chicago,Junior,Mathematics,2.64,"Chinese, German, Spanish","Debate Club, Volunteer Group, Coding Club, Music Club, Art Club, Sports Team",Blockchain Technology
307,Student 307,Psychology,Coding Club,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic",Boston,Graduate,Computer Science,2.49,"Japanese, French, Spanish, German, Chinese, English","Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team",Political Science
308,Student 308,Mathematics,Music Club,Leadership,New York,Freshman,Physics,2.1,"French, English, Japanese, Chinese, German","Debate Club, Music Club",Machine Learning
309,Student 309,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving",San Francisco,Freshman,Mathematics,3.99,"German, Spanish, Japanese, French","Music Club, Sports Team, Volunteer Group, Debate Club, Coding Club, Art Club",Human-Computer Interaction
310,Student 310,History,Sports Team,"Leadership, Problem Solving",Boston,Junior,Mathematics,3.89,"English, French, Chinese, Spanish, German","Volunteer Group, Debate Club, Music Club, Sports Team",Space Exploration
311,Student 311,Physics,Sports Team,"Data Analysis, Programming, Problem Solving, Public Speaking, Artistic, Leadership",Chicago,Junior,Physics,3.79,"German, English, Spanish, Japanese, French, Chinese","Art Club, Coding Club, Debate Club, Sports Team",Educational Technology
312,Student 312,Biology,Volunteer Group,"Leadership, Problem Solving, Public Speaking, Programming, Artistic, Data Analysis",Houston,Graduate,Mathematics,2.4,"Spanish, English","Debate Club, Volunteer Group, Music Club, Sports Team, Coding Club, Art Club",Climate Change
313,Student 313,History,Music Club,"Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",Boston,Sophomore,Biology,3.7,Chinese,Art Club,Behavioral Economics
314,Student 314,Mathematics,Art Club,Programming,Boston,Freshman,Psychology,2.15,"English, German, Japanese, Chinese","Volunteer Group, Art Club",Sustainable Agriculture
315,Student 315,Psychology,Art Club,"Artistic, Public Speaking, Leadership, Data Analysis",San Francisco,Graduate,Mathematics,2.59,"Japanese, Chinese, Spanish, English, French, German",Sports Team,Data Science
316,Student 316,Psychology,Music Club,"Artistic, Public Speaking, Leadership, Programming, Problem Solving, Data Analysis",Los Angeles,Junior,History,2.97,Chinese,"Sports Team, Volunteer Group, Art Club",Educational Technology
317,Student 317,Mathematics,Sports Team,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving",New York,Sophomore,Psychology,2.23,"French, German, Chinese","Music Club, Debate Club, Volunteer Group, Art Club, Coding Club",Nanotechnology
318,Student 318,History,Debate Club,"Artistic, Leadership",San Francisco,Graduate,Psychology,2.02,"Spanish, Chinese, German",Coding Club,Cognitive Psychology
319,Student 319,Computer Science,Music Club,Public Speaking,Boston,Graduate,History,3.44,"English, Chinese, Japanese, Spanish","Coding Club, Art Club, Music Club",Healthcare Management
320,Student 320,Psychology,Music Club,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis",Houston,Junior,Biology,2.75,"Chinese, German, Spanish, Japanese, English, French","Volunteer Group, Sports Team, Art Club",Blockchain Technology
321,Student 321,Physics,Sports Team,Artistic,San Francisco,Sophomore,Physics,2.67,German,"Art Club, Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Artificial Intelligence
322,Student 322,Mathematics,Debate Club,"Data Analysis, Artistic, Problem Solving, Leadership, Programming, Public Speaking",San Francisco,Graduate,Biology,2.37,Japanese,"Music Club, Art Club, Debate Club, Sports Team, Coding Club, Volunteer Group",Robotics
323,Student 323,Physics,Coding Club,"Data Analysis, Problem Solving, Programming",San Francisco,Junior,History,2.46,"Chinese, Japanese, English, Spanish","Art Club, Volunteer Group, Sports Team, Coding Club, Debate Club",Nanotechnology
324,Student 324,Mathematics,Coding Club,"Data Analysis, Artistic, Public Speaking, Programming",Boston,Graduate,Biology,2.39,"German, Japanese, French, English, Spanish",Volunteer Group,Astrophysics
325,Student 325,Computer Science,Debate Club,"Artistic, Programming",New York,Sophomore,History,3.81,"German, English, Chinese, Spanish, French, Japanese","Music Club, Volunteer Group, Debate Club, Sports Team, Art Club",Climate Change
326,Student 326,History,Music Club,"Leadership, Data Analysis, Public Speaking",New York,Junior,Biology,2.72,"English, Chinese",Coding Club,Environmental Sustainability
327,Student 327,Psychology,Debate Club,"Leadership, Data Analysis, Problem Solving",Los Angeles,Senior,History,3.65,"English, Spanish, Japanese, Chinese",Volunteer Group,Human-Computer Interaction
328,Student 328,Computer Science,Volunteer Group,"Public Speaking, Programming, Artistic, Leadership",Chicago,Junior,Psychology,2.74,"French, German, Chinese, Spanish","Music Club, Coding Club, Volunteer Group, Debate Club, Sports Team",Healthcare Management
329,Student 329,Physics,Coding Club,"Leadership, Public Speaking",New York,Senior,Computer Science,3.62,"French, Japanese, Spanish","Volunteer Group, Art Club",Artificial Intelligence
330,Student 330,Psychology,Art Club,"Artistic, Leadership",New York,Junior,Psychology,3.97,"Chinese, French, Spanish, German, Japanese, English","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Artificial Intelligence
331,Student 331,History,Music Club,"Data Analysis, Programming, Public Speaking, Leadership, Artistic",New York,Freshman,Mathematics,2.96,"Spanish, English, French, Japanese, Chinese","Music Club, Art Club, Sports Team",Quantum Computing
332,Student 332,Physics,Music Club,Problem Solving,Los Angeles,Freshman,Computer Science,2.22,"German, English, Japanese, French, Chinese, Spanish","Music Club, Debate Club, Sports Team, Art Club, Coding Club",Urban Planning
333,Student 333,Physics,Art Club,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking",Boston,Sophomore,Psychology,3.4,"Spanish, English, French, Chinese, Japanese","Coding Club, Volunteer Group",Artificial Intelligence
334,Student 334,Mathematics,Sports Team,"Leadership, Problem Solving, Public Speaking, Programming",Houston,Freshman,Mathematics,3.15,"English, German","Sports Team, Coding Club, Art Club, Volunteer Group, Debate Club",Behavioral Economics
335,Student 335,Psychology,Coding Club,"Leadership, Artistic, Problem Solving, Data Analysis, Public Speaking, Programming",Los Angeles,Freshman,History,2.18,"English, Spanish, German, Chinese, Japanese",Debate Club,Renewable Energy
336,Student 336,Mathematics,Volunteer Group,"Leadership, Artistic, Programming",Houston,Freshman,History,3.83,"Spanish, Japanese, English, French","Coding Club, Volunteer Group, Art Club, Music Club, Debate Club, Sports Team",Renewable Energy
337,Student 337,History,Music Club,"Public Speaking, Data Analysis, Problem Solving, Leadership, Programming, Artistic",Chicago,Sophomore,Biology,2.52,"French, German, English, Spanish","Volunteer Group, Art Club, Music Club",Climate Change
338,Student 338,Computer Science,Debate Club,"Leadership, Problem Solving, Programming",Los Angeles,Graduate,History,3.37,"English, Japanese, French, Chinese, German, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Environmental Sustainability
339,Student 339,Mathematics,Music Club,"Problem Solving, Artistic",Chicago,Senior,History,2.26,"Japanese, German","Music Club, Sports Team, Volunteer Group, Coding Club, Debate Club",Cybersecurity
340,Student 340,Biology,Coding Club,"Artistic, Leadership",Boston,Graduate,Biology,3.41,"English, Japanese, Spanish, Chinese","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club, Music Club",Educational Technology
341,Student 341,Psychology,Music Club,"Problem Solving, Public Speaking, Programming, Artistic",San Francisco,Sophomore,History,2.91,"English, French, Spanish, Japanese, Chinese","Sports Team, Art Club, Music Club, Debate Club",Quantum Computing
342,Student 342,History,Art Club,"Public Speaking, Problem Solving, Programming, Leadership",Boston,Graduate,Mathematics,2.94,"French, Japanese, Chinese","Coding Club, Sports Team, Debate Club",Blockchain Technology
343,Student 343,Biology,Coding Club,"Data Analysis, Artistic, Public Speaking, Leadership",Chicago,Graduate,Physics,2.1,"German, Japanese",Music Club,Cognitive Psychology
344,Student 344,Physics,Sports Team,Leadership,San Francisco,Junior,Computer Science,2.63,"English, Japanese, German","Debate Club, Art Club, Music Club, Volunteer Group",Social Sciences
345,Student 345,Biology,Music Club,"Problem Solving, Public Speaking, Programming, Artistic, Leadership",New York,Junior,History,3.57,Japanese,Coding Club,Behavioral Economics
346,Student 346,Mathematics,Coding Club,"Leadership, Programming, Problem Solving, Artistic, Data Analysis, Public Speaking",San Francisco,Sophomore,Mathematics,3.77,"Japanese, French, English, German, Spanish, Chinese","Sports Team, Debate Club, Music Club",Human-Computer Interaction
347,Student 347,Computer Science,Sports Team,"Public Speaking, Data Analysis, Leadership, Programming",San Francisco,Sophomore,Physics,2.62,"Chinese, German, English","Music Club, Debate Club, Art Club",Urban Planning
348,Student 348,Physics,Debate Club,"Problem Solving, Public Speaking, Artistic, Leadership, Data Analysis, Programming",San Francisco,Graduate,Psychology,3.77,"French, Spanish, Chinese, German, Japanese, English",Volunteer Group,Climate Change
349,Student 349,Psychology,Art Club,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",New York,Senior,Psychology,3.89,"English, Japanese, Spanish, German, French, Chinese","Debate Club, Art Club, Coding Club, Volunteer Group",Climate Change
350,Student 350,Computer Science,Art Club,Artistic,Boston,Junior,Computer Science,3.68,"English, Chinese, German, Spanish","Music Club, Volunteer Group, Coding Club, Sports Team, Debate Club",Environmental Sustainability
351,Student 351,Psychology,Debate Club,"Artistic, Problem Solving",Chicago,Senior,Psychology,3.31,Japanese,"Music Club, Volunteer Group",Blockchain Technology
352,Student 352,Mathematics,Volunteer Group,Programming,New York,Graduate,Computer Science,3.94,"French, German, English, Chinese, Japanese, Spanish","Debate Club, Coding Club, Sports Team, Volunteer Group",Bioinformatics
353,Student 353,Computer Science,Sports Team,"Public Speaking, Artistic, Leadership, Problem Solving, Programming, Data Analysis",Houston,Sophomore,History,2.73,"Japanese, French, English, Spanish","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club",Social Sciences
354,Student 354,History,Art Club,"Leadership, Programming, Public Speaking",Houston,Freshman,History,2.34,"French, Spanish, English, Chinese, Japanese, German","Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",Renewable Energy
355,Student 355,Biology,Coding Club,"Programming, Artistic",San Francisco,Graduate,Psychology,2.05,"Spanish, English, French, Japanese, German",Sports Team,Environmental Sustainability
356,Student 356,Physics,Music Club,"Artistic, Public Speaking",New York,Freshman,Mathematics,3.19,"English, Japanese, Spanish, German, Chinese",Art Club,Biomedical Engineering
357,Student 357,Mathematics,Coding Club,"Problem Solving, Data Analysis",Chicago,Sophomore,Computer Science,3.34,"German, Spanish, French, Chinese, Japanese, English","Debate Club, Music Club, Sports Team, Art Club, Volunteer Group",Climate Change
358,Student 358,Physics,Coding Club,Programming,New York,Graduate,Physics,3.76,"French, Spanish, Chinese, German",Art Club,Data Science
359,Student 359,Biology,Sports Team,Programming,Houston,Sophomore,Computer Science,2.54,"English, Japanese, Chinese","Sports Team, Art Club, Debate Club, Volunteer Group, Music Club",Space Exploration
360,Student 360,Computer Science,Coding Club,"Artistic, Public Speaking, Leadership, Programming, Data Analysis, Problem Solving",Los Angeles,Sophomore,Psychology,2.98,"Japanese, Spanish","Art Club, Debate Club, Coding Club, Volunteer Group",Behavioral Economics
361,Student 361,History,Music Club,"Problem Solving, Data Analysis, Programming, Leadership",New York,Sophomore,Mathematics,2.71,"Japanese, French, English, Chinese, Spanish",Coding Club,Data Science
362,Student 362,Physics,Coding Club,"Leadership, Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",San Francisco,Junior,Computer Science,2.76,"Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group, Sports Team, Music Club",Environmental Sustainability
363,Student 363,Psychology,Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",San Francisco,Senior,Physics,2.17,"French, Chinese, Japanese, English, German, Spanish","Music Club, Volunteer Group, Sports Team",Cybersecurity
364,Student 364,Physics,Debate Club,"Artistic, Programming, Data Analysis, Leadership",San Francisco,Graduate,Psychology,2.43,"English, Japanese","Art Club, Music Club, Coding Club",Healthcare Management
365,Student 365,Physics,Volunteer Group,"Public Speaking, Programming, Artistic, Problem Solving, Data Analysis",Los Angeles,Graduate,History,3.68,"Chinese, English, German, Spanish","Debate Club, Coding Club, Music Club, Art Club, Sports Team, Volunteer Group",Educational Technology
366,Student 366,Mathematics,Music Club,"Problem Solving, Programming, Leadership",Houston,Junior,Computer Science,2.98,"Japanese, German, English, French","Volunteer Group, Debate Club, Music Club, Art Club, Sports Team, Coding Club",Behavioral Economics
367,Student 367,Psychology,Volunteer Group,"Data Analysis, Programming",Chicago,Freshman,History,3.11,German,Sports Team,Data Science
368,Student 368,Computer Science,Music Club,"Artistic, Leadership, Data Analysis, Programming",Los Angeles,Sophomore,Biology,3.56,"Japanese, Chinese","Sports Team, Coding Club, Art Club, Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
369,Student 369,Psychology,Art Club,"Data Analysis, Public Speaking, Artistic",Houston,Junior,History,2.64,"Japanese, French, German, Chinese, English, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Natural Language Processing
370,Student 370,Mathematics,Volunteer Group,"Problem Solving, Public Speaking, Leadership",New York,Graduate,Psychology,2.5,"French, English, Spanish, German, Chinese","Volunteer Group, Sports Team, Debate Club, Music Club",Natural Language Processing
371,Student 371,Mathematics,Coding Club,"Problem Solving, Public Speaking, Leadership, Programming, Data Analysis, Artistic",Boston,Junior,Physics,2.19,"German, English",Sports Team,Educational Technology
372,Student 372,Physics,Debate Club,"Artistic, Leadership",Los Angeles,Freshman,Physics,3.86,"Spanish, German, Japanese","Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Renewable Energy
373,Student 373,Mathematics,Sports Team,"Data Analysis, Problem Solving",San Francisco,Freshman,Physics,2.43,"German, Chinese, Spanish, Japanese, English, French","Music Club, Volunteer Group, Sports Team, Debate Club",Biomedical Engineering
374,Student 374,Mathematics,Music Club,"Programming, Leadership, Data Analysis, Artistic",Los Angeles,Junior,Computer Science,2.86,"Spanish, French, German, Chinese, English","Volunteer Group, Coding Club, Music Club, Debate Club, Art Club, Sports Team",Renewable Energy
375,Student 375,Physics,Sports Team,"Data Analysis, Artistic, Public Speaking, Programming, Leadership, Problem Solving",Los Angeles,Graduate,Physics,3.49,"Spanish, English",Debate Club,Sustainable Agriculture
376,Student 376,Mathematics,Music Club,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving",San Francisco,Freshman,Psychology,2.21,"Chinese, English","Music Club, Debate Club, Volunteer Group, Coding Club, Sports Team",Nanotechnology
377,Student 377,Psychology,Coding Club,"Data Analysis, Leadership, Artistic",Los Angeles,Senior,History,2.13,"French, Japanese, English, German","Music Club, Volunteer Group, Sports Team",Healthcare Management
378,Student 378,History,Coding Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming",Houston,Sophomore,Physics,2.34,French,"Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team, Art Club",Sustainable Agriculture
379,Student 379,Psychology,Volunteer Group,"Data Analysis, Problem Solving, Artistic",Houston,Senior,Psychology,3.42,"French, English, Chinese","Sports Team, Volunteer Group",Renewable Energy
380,Student 380,Mathematics,Coding Club,"Problem Solving, Artistic, Public Speaking, Programming, Data Analysis",San Francisco,Freshman,Biology,2.43,"Spanish, Chinese, French, Japanese, German","Music Club, Volunteer Group",Educational Technology
381,Student 381,Biology,Sports Team,Programming,New York,Graduate,Computer Science,3.96,"Spanish, English",Coding Club,Behavioral Economics
382,Student 382,Computer Science,Music Club,"Public Speaking, Artistic, Problem Solving, Leadership, Data Analysis",Houston,Sophomore,Computer Science,2.92,"English, German","Debate Club, Volunteer Group, Art Club",Renewable Energy
383,Student 383,Biology,Debate Club,"Problem Solving, Data Analysis",Houston,Graduate,Computer Science,2.93,"Chinese, French, Japanese, German, English","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",Biomedical Engineering
384,Student 384,History,Debate Club,Programming,New York,Junior,Computer Science,2.32,"German, Chinese, Spanish, English, French, Japanese","Sports Team, Volunteer Group, Music Club",Cybersecurity
385,Student 385,Psychology,Volunteer Group,"Problem Solving, Data Analysis, Leadership, Programming",San Francisco,Sophomore,Physics,2.28,"German, Spanish, Japanese, French, Chinese, English",Coding Club,Climate Change
386,Student 386,Mathematics,Music Club,"Programming, Data Analysis, Public Speaking",Houston,Junior,Mathematics,3.3,"Chinese, German, Spanish, Japanese, French, English","Sports Team, Volunteer Group",Urban Planning
387,Student 387,Physics,Sports Team,"Data Analysis, Public Speaking, Programming",San Francisco,Sophomore,Computer Science,3.84,Japanese,"Music Club, Volunteer Group",Political Science
388,Student 388,Computer Science,Sports Team,Artistic,Houston,Senior,Biology,3.69,"Chinese, German, Spanish, Japanese","Music Club, Debate Club, Sports Team",Educational Technology
389,Student 389,Physics,Art Club,"Leadership, Programming",Houston,Senior,Biology,3.21,"Japanese, Chinese, English, Spanish, French","Music Club, Art Club",Social Sciences
390,Student 390,History,Debate Club,"Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving",New York,Graduate,Physics,3.31,"Japanese, German, French","Volunteer Group, Music Club",Quantum Computing
391,Student 391,Psychology,Music Club,Leadership,Boston,Graduate,Mathematics,3.26,French,"Sports Team, Music Club",Astrophysics
392,Student 392,Computer Science,Debate Club,"Programming, Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking",Los Angeles,Junior,History,2.75,German,"Art Club, Debate Club, Music Club, Sports Team",Space Exploration
393,Student 393,Biology,Music Club,"Leadership, Public Speaking, Problem Solving, Artistic, Programming",New York,Graduate,Physics,3.89,"Japanese, French, Spanish","Music Club, Debate Club, Volunteer Group",Climate Change
394,Student 394,Biology,Art Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Programming",Chicago,Graduate,History,2.72,"French, Chinese, German, English","Volunteer Group, Music Club, Coding Club, Debate Club",Machine Learning
395,Student 395,Psychology,Music Club,"Leadership, Artistic, Data Analysis, Programming, Problem Solving",Chicago,Senior,History,2.53,"Chinese, English, French, German","Volunteer Group, Music Club, Coding Club, Sports Team, Debate Club",Urban Planning
396,Student 396,Psychology,Art Club,"Programming, Leadership, Artistic, Public Speaking, Data Analysis, Problem Solving",Los Angeles,Freshman,Mathematics,3.81,Spanish,"Sports Team, Music Club, Debate Club, Art Club, Coding Club",Quantum Computing
397,Student 397,Psychology,Sports Team,"Problem Solving, Artistic, Data Analysis, Public Speaking, Leadership, Programming",San Francisco,Graduate,History,2.74,English,"Volunteer Group, Coding Club, Sports Team, Debate Club, Music Club, Art Club",Biomedical Engineering
398,Student 398,Psychology,Music Club,"Programming, Public Speaking, Data Analysis, Problem Solving",Los Angeles,Junior,Biology,3.94,"Spanish, French","Art Club, Coding Club, Debate Club",Natural Language Processing
399,Student 399,Mathematics,Debate Club,Leadership,Boston,Freshman,Mathematics,3.69,"Japanese, German, English",Volunteer Group,Urban Planning
400,Student 400,Computer Science,Music Club,"Problem Solving, Leadership, Public Speaking, Artistic, Data Analysis",San Francisco,Graduate,Psychology,2.46,"Japanese, Spanish, German, Chinese, French","Volunteer Group, Coding Club, Art Club",Cybersecurity
401,Student 401,Mathematics,Sports Team,"Programming, Problem Solving, Data Analysis, Artistic",Los Angeles,Sophomore,Psychology,3.21,"Japanese, German, English, French, Chinese, Spanish","Music Club, Volunteer Group, Art Club, Coding Club, Debate Club, Sports Team",Educational Technology
